Traditional,Simplified,Pinyin
矛盾,矛盾,máodùn
藥物,药物,yàowù
不幸,不幸,búxìng
矛盾,矛盾,máodùn
改造,改造,gǎizào
感覺,感觉,gǎnjué
董事長,董事长,dǒngshìzhǎng
競爭力,竞争力,jìngzhēnglì
中間,中间,zhōngjiān
毛澤東,毛泽东,máozédōng
痛,痛,tòng
痛,痛,tòng
採購,采购,cǎigòu
採購,采购,cǎigòu
堆,堆,duī
蛇,蛇,shé
有意,有意,yǒuyì
估計,估计,gūjì
層次,层次,céngcì
主導,主导,zhǔdǎo
足夠,足够,zúgòu
林,林,lín
飯,饭,fàn
號,号,hào
親自,亲自,qīnzì
主導,主导,zhǔdǎo
等到,等到,děngdào
便宜,便宜,piányí
更為,更为,gèngwéi
天空,天空,tiānkōng
反彈,反弹,fǎntán
似,似,sì
些,些,xiē
爸,爸,bà
訓練,训练,xùnliàn
尋求,寻求,xúnqiú
尋求,寻求,xúnqiú
反彈,反弹,fǎntán
手法,手法,shǒufǎ
私人,私人,sīrén
光碟,光碟,guāngdié
立法院,立法院,lìfǎyuàn
組合,组合,zǔhé
組合,组合,zǔhé
稍,稍,shāo
層面,层面,céngmiàn
中研院,中研院,zhōngyányuàn
困擾,困扰,kùnrǎo
熱鬧,热闹,rènào
日後,日后,rìhòu
實,实,shí
熱鬧,热闹,rènào
喜愛,喜爱,xǐài
喜愛,喜爱,xǐài
時,时,shí
美好,美好,měihǎo
機車,机车,jīchē
韓國,韩国,hánguó
收入,收入,shōurù
議員,议员,yìyuán
衛星,卫星,wèixīng
勝,胜,shèng
註,注,zhù
徹底,彻底,chèdǐ
預定,预定,yūdìng
房屋,房屋,fángwū
提醒,提醒,tíxǐng
蓋,盖,gài
營運,营运,yíngyùn
提醒,提醒,tíxǐng
所在,所在,suǒzài
詳細,详细,xiángxì
蓋,盖,gài
結論,结论,jiélùn
反正,反正,fǎnzhèng
牛,牛,nióu
右,右,yòu
廣泛,广泛,guǎngfàn
廣泛,广泛,guǎngfàn
愉快,愉快,yūkuài
陣,阵,zhèn
愉快,愉快,yūkuài
優勢,优势,yōushì
流程,流程,liúchéng
搭,搭,dā
階級,阶级,jiējí
境界,境界,jìngjiè
大部份,大部份,dàbùfèn
限制,限制,xiànzhì
連續,连续,liánxù
客人,客人,kèrén
秩序,秩序,zhìxù
力,力,lì
力,力,lì
這兒,这儿,zhèēr
養,养,yǎng
保守,保守,bǎoshǒu
保守,保守,bǎoshǒu
過去,过去,guòqù
市立,市立,shìlì
引發,引发,yǐnfā
東方,东方,dōngfāng
大盤,大盘,dàpán
奧會,奥会,àohuì
財務,财务,cáiwù
經歷,经历,jīnglì
經歷,经历,jīnglì
面,面,miàn
錯誤,错误,cuòwù
爺爺,爷爷,yéyé
國會,国会,guóhuì
差距,差距,chājù
傷害,伤害,shānghài
委託,委讬,wěituō
之所以,之所以,zhīsuǒyǐ
台,台,tái
趕快,赶快,gǎnkuài
移民,移民,yímín
商店,商店,shāngdiàn
委託,委讬,wěituō
投票,投票,tóupiào
同事,同事,tóngshì
進而,进而,jìnér
將軍,将军,jiāngjūn
球員,球员,qiúyuán
原來,原来,yuánlái
冷,冷,lěng
感染,感染,gǎnrǎn
導演,导演,dǎoyǎn
人間,人间,rénjiān
古,古,gǔ
感染,感染,gǎnrǎn
財產,财产,cáichǎn
分享,分享,fēnxiǎng
遺址,遗址,yízhǐ
發覺,发觉,fājué
造型,造型,zàoxíng
一面,一面,yīmiàn
分享,分享,fēnxiǎng
不只,不只,bùzhǐ
不禁,不禁,bùjīn
打破,打破,dǎpò
忽略,忽略,hūluè
原有,原有,yuányǒu
草案,草案,cǎoàn
害怕,害怕,hàipà
身為,身为,shēnwéi
性能,性能,xìngnéng
活潑,活泼,huópō
記錄,记录,jìlù
清華,清华,qīnghuá
綜合,综合,zònghé
講話,讲话,jiǎnghuà
儘量,尽量,jǐnliàng
違反,违反,wéifǎn
偉大,伟大,wěidà
金額,金额,jīné
功課,功课,gōngkè
偉大,伟大,wěidà
場地,场地,chǎngdì
龐大,庞大,pángdà
市區,市区,shìqū
巴黎,巴黎,bālí
反省,反省,fǎnxǐng
主角,主角,zhǔjiǎo
理事長,理事长,lǐshìzhǎng
背後,背后,bèihòu
龐大,庞大,pángdà
反省,反省,fǎnxǐng
犧牲,牺牲,xīshēng
天,天,tiān
蠻,蛮,mán
以便,以便,yǐbiàn
犧牲,牺牲,xīshēng
預防,预防,yūfáng
爭,争,zhēng
種類,种类,zhǒnglèi
預防,预防,yūfáng
就業,就业,jiùyè
本土,本土,běntǔ
天氣,天气,tiānqì
夫妻,夫妻,fūqī
左,左,zuǒ
優點,优点,yōudiǎn
嗯哼,嗯哼,ēnhēng
就業,就业,jiùyè
事物,事物,shìwù
困境,困境,kùnjìng
呼籲,呼籲,hūyū
呼籲,呼籲,hūyū
據說,据说,jùshuō
人事,人事,rénshì
大學生,大学生,dàxuéshēng
洗,洗,xǐ
農村,农村,nóngcūn
數學,数学,shùxué
女士,女士,nǔshì
風氣,风气,fēngqì
必然,必然,bìrán
難得,难得,nándé
樂器,乐器,yuèqì
果然,果然,guǒrán
安非他命,安非他命,ānfēitāmìng
床,床,chuáng
局,局,jú
指,指,zhǐ
戲,戏,xì
除非,除非,chúfēi
訂,订,dìng
研究員,研究员,yánjiùyuán
唉,唉,āi
著手,着手,zhuóshǒu
熱烈,热烈,rèliè
按,按,àn
能源,能源,néngyuán
其餘,其余,qíyū
找出,找出,zhǎochū
影片,影片,yǐngpiàn
白色,白色,báisè
可以,可以,kěyǐ
等待,等待,děngdài
創作,创作,chuàngzuò
等待,等待,děngdài
年度,年度,niándù
慢,慢,màn
缺點,缺点,quēdiǎn
接近,接近,jiējìn
數據,数据,shùjù
缺,缺,quē
中,中,zhōng
條例,条例,tiáolì
藥,药,yào
報告,报告,bàogào
身邊,身边,shēnbiān
改為,改为,gǎiwéi
指標,指标,zhǐbiāo
沿,沿,yán
設定,设定,shèdìng
眼光,眼光,yǎnguāng
設定,设定,shèdìng
聰明,聪明,cōngmíng
聰明,聪明,cōngmíng
下列,下列,xiàliè
打電話,打电话,dǎdiànhuà
舉,举,jǔ
醫學院,医学院,yīxuéyuàn
參考,参考,cānkǎo
大自然,大自然,dàzìrán
騎,骑,qí
人際,人际,rénjì
漢人,汉人,hànrén
剩下,剩下,shèngxià
傳播,传播,chuánbò
自從,自从,zìcóng
傳播,传播,chuánbò
冠軍,冠军,guànjūn
學會,学会,xuéhuì
海洋,海洋,hǎiyáng
彷彿,彷彿,fǎngfú
東京,东京,dōngjīng
負擔,负担,fùdān
知名,知名,zhīmíng
那兒,那儿,nǎēr
爭議,争议,zhēngyì
實質,实质,shízhí
查詢,查询,cháxún
查詢,查询,cháxún
校務,校务,xiàowù
部隊,部队,bùduì
火車,火车,huǒchē
幼稚園,幼稚园,yòuzhìyuán
話題,话题,huàtí
感謝,感谢,gǎnxiè
感謝,感谢,gǎnxiè
獎金,奖金,jiǎngjīn
大師,大师,dàshī
聯絡,联络,liánluò
聯絡,联络,liánluò
原始,原始,yuánshǐ
北市,北市,běishì
課題,课题,kètí
路線,路线,lùxiàn
信仰,信仰,xìnyǎng
英雄,英雄,yīngxióng
契約,契约,qìyuē
訂定,订定,dìngdìng
批評,批评,pīpíng
法院,法院,fǎyuàn
訂定,订定,dìngdìng
愛情,爱情,àiqíng
依據,依据,yījù
適用,适用,shìyòng
學位,学位,xuéwèi
水庫,水库,shuǐkù
千,千,qiān
民主,民主,mínzhǔ
贊成,赞成,zànchéng
好奇,好奇,hàoqí
好奇,好奇,hàoqí
科威特,科威特,kēwēitè
體會,体会,tǐhuì
體會,体会,tǐhuì
熊貓,熊猫,xióngmāo
暫時,暂时,zhànshí
萬,万,wàn
較為,较为,jiàowéi
單純,单纯,dānchún
透露,透露,tòulù
品牌,品牌,pǐnpái
候選人,候选人,hòuxuǎnrén
單純,单纯,dānchún
看來,看来,kànlái
內涵,内涵,nèihán
登記,登记,dēngjì
登記,登记,dēngjì
棵,棵,kē
會長,会长,huìzhǎng
核心,核心,héxīn
家具,家具,jiājù
座談會,座谈会,zuòtánhuì
症狀,症状,zhèngzhuàng
火,火,huǒ
一帶,一带,yīdài
患者,患者,huànzhě
很少,很少,hěnshǎo
有名,有名,yǒumíng
依照,依照,yīzhào
忘記,忘记,wàngjì
小型,小型,xiǎoxíng
占,占,zhàn
手段,手段,shǒuduàn
優秀,优秀,yōuxiù
倒是,倒是,dàoshì
明星,明星,míngxīng
吸收,吸收,xīshōu
吸收,吸收,xīshōu
人格,人格,réngé
指數,指数,zhǐshù
做好,做好,zuòhǎo
動態,动态,dòngtài
游泳,游泳,yóuyǒng
不如,不如,bùrú
出生,出生,chūshēng
出生,出生,chūshēng
遂,遂,suì
當作,当作,dāngzuò
會,会,huì
學問,学问,xuéwèn
嘗試,尝试,chángshì
全民,全民,quánmín
部落,部落,bùluò
賺,赚,zhuàn
聯合國,联合国,liánhéguó
擺,摆,bǎi
賺錢,赚钱,zhuànqián
與會,与会,yǔhuì
鳥類,鸟类,niǎolèi
答應,答应,dāyìng
掛,挂,guà
石頭,石头,shítou
挫折,挫折,cuòzhé
飛行,飞行,fēixíng
飛行,飞行,fēixíng
行程,行程,xíngchéng
理性,理性,lǐxìng
夫人,夫人,fūrén
累,累,lèi
轉變,转变,zhuǎnbiàn
轉變,转变,zhuǎnbiàn
本質,本质,běnzhí
上班,上班,shàngbān
興奮,兴奋,xīngfèn
那邊,那边,nàbiān
興奮,兴奋,xīngfèn
帶動,带动,dàidòng
急,急,jí
帶動,带动,dàidòng
捷運,捷运,jiéyùn
諸,诸,zhū
廣,广,guǎng
慶祝,庆祝,qìngzhù
司機,司机,sījī
難過,难过,nánguò
高雄市,高雄市,gāoxióngshì
習慣,习惯,xíguàn
出席,出席,chūxí
出席,出席,chūxí
外界,外界,wàijiè
女孩子,女孩子,nǔháizi
語法,语法,yǔfǎ
頁,页,yè
閱讀,阅读,yuèdú
頭,头,tóu
借,借,jiè
拍攝,拍摄,pāishè
拍攝,拍摄,pāishè
家族,家族,jiāzú
身心,身心,shēnxīn
專門,专门,zhuānmén
可憐,可怜,kělián
舞蹈,舞蹈,wǔdào
味道,味道,wèidào
個案,个案,gèàn
事先,事先,shìxiān
大專,大专,dàzhuān
下面,下面,xiàmiàn
下,下,xià
練習,练习,liànxí
就算,就算,jiùsuàn
南非,南非,nánfēi
表情,表情,biǎoqíng
耶,耶,yé
藉著,藉着,jièzhe
以致,以致,yǐzhì
自殺,自杀,zìshā
助理,助理,zhùlǐ
自殺,自杀,zìshā
洞,洞,dòng
測試,测试,cèshì
臺北市,台北市,táiběishì
歐美,欧美,ōuměi
獎勵,奖励,jiǎnglì
杯,杯,bēi
體驗,体验,tǐyàn
浪費,浪费,làngfèi
體驗,体验,tǐyàn
個人電腦,个人电脑,geréndiànnǎo
本人,本人,běnrén
口,口,kǒu
質疑,质疑,zhíyí
質疑,质疑,zhíyí
血液,血液,xiěyè
走向,走向,zǒuxiàng
形態,形态,xíngtài
步驟,步骤,bùzòu
視覺,视觉,shìjué
正面,正面,zhèngmiàn
收費,收费,shōufèi
收費,收费,shōufèi
促使,促使,cùshǐ
補助,补助,bǔzhù
階層,阶层,jiēcéng
期望,期望,qíwàng
實驗室,实验室,shíyànshì
皮膚,皮肤,pífū
病患,病患,bìnghuàn
武器,武器,wǔqì
日益,日益,rìyì
大都,大都,dàdōu
獎,奖,jiǎng
檢討,检讨,jiǎntǎo
螢幕,萤幕,yíngmù
檢討,检讨,jiǎntǎo
禁止,禁止,jìnzhǐ
起來,起来,qǐlái
輔大,辅大,fǔdà
旅客,旅客,lǔkè
繪畫,绘画,huìhuà
用,用,yòng
用,用,yòng
生,生,shēng
腳步,脚步,jiǎobù
設計師,设计师,shèjìshī
救,救,jiù
納入,纳入,nàrù
南部,南部,nánbù
害,害,hài
計程車,计程车,jìchéngchē
光,光,guāng
貴,贵,guì
現代化,现代化,xiàndàihuà
破,破,pò
吹,吹,chuī
勇氣,勇气,yǒngqì
現代化,现代化,xiàndàihuà
氣候,气候,qìhòu
化學,化学,huàxué
巴西,巴西,bāxī
人權,人权,rénquán
這麼多,这么多,zhèmeduō
生涯,生涯,shēngyá
文件,文件,wénjiàn
簡直,简直,jiǎnzhí
導向,导向,dǎoxiàng
儀式,仪式,yíshì
用途,用途,yòngtú
生長,生长,shēngzhǎng
舞台,舞台,wǔtái
逢,逢,féng
逢,逢,féng
生長,生长,shēngzhǎng
義工,义工,yìgōng
科學家,科学家,kēxuéjiā
業主,业主,yèzhǔ
軍隊,军队,jūnduì
各自,各自,gèzì
如果說,如果说,rúguǒshuō
案件,案件,ànjiàn
爆發,爆发,bàofā
有如,有如,yǒurú
各界,各界,gèjiè
題目,题目,tímù
街頭,街头,jiētóu
寬,宽,kuān
有如,有如,yǒurú
爆發,爆发,bàofā
底,底,dǐ
決策,决策,juécè
抱,抱,bào
故宮,故宫,gùgōng
傑出,杰出,jiéchū
窗,窗,chuāng
說明,说明,shuōmíng
糧食,粮食,liángshí
固然,固然,gùrán
變遷,变迁,biànqiān
變遷,变迁,biànqiān
議題,议题,yìtí
凡,凡,fán
太多,太多,tàiduō
民俗,民俗,mínsú
唱片,唱片,chàngpiàn
實驗,实验,shíyàn
處於,处于,chǔyū
效益,效益,xiàoyì
古典,古典,gǔdiǎn
構想,构想,gòuxiǎng
期望,期望,qíwàng
推薦,推荐,tuījiàn
收集,收集,shōují
推薦,推荐,tuījiàn
命,命,mìng
車輛,车辆,chēliàng
收集,收集,shōují
實踐,实践,shíjiàn
商人,商人,shāngrén
華航,华航,huáháng
頭髮,头发,tóufǎ
實踐,实践,shíjiàn
描述,描述,miáoshù
潮流,潮流,cháoliú
若干,若干,ruògān
方,方,fāng
台灣人,台湾人,táiwānrén
領袖,领袖,lǐngxiù
眾多,众多,zhòngduō
故意,故意,gùyì
和諧,和谐,héxié
和諧,和谐,héxié
取締,取缔,qǔdì
取締,取缔,qǔdì
抽,抽,chōu
大地,大地,dàdì
大門,大门,dàmén
追,追,zhuī
性別,性别,xìngbié
邀,邀,yāo
入學,入学,rùxué
傷害,伤害,shānghài
更新,更新,gēngxīn
呈,呈,chéng
更新,更新,gēngxīn
中學,中学,zhōngxué
吳,吴,wú
保障,保障,bǎozhàng
書籍,书籍,shūjí
四周,四周,sìzhōu
客觀,客观,kèguān
戶,户,hù
檢驗,检验,jiǎnyàn
蒐集,蒐集,sōují
蒐集,蒐集,sōují
檢驗,检验,jiǎnyàn
獨特,独特,dútè
無奈,无奈,wúnài
肉,肉,ròu
無限,无限,wúxiàn
觀賞,观赏,guānshǎng
觀賞,观赏,guānshǎng
可能性,可能性,kěnéngxìng
無奈,无奈,wúnài
現代人,现代人,xiàndàirén
情勢,情势,qíngshì
推展,推展,tuīzhǎn
推展,推展,tuīzhǎn
師大,师大,shīdà
宣布,宣布,xuānbù
律師,律师,lùshī
宣布,宣布,xuānbù
波斯灣,波斯湾,pōsīwān
飲食,饮食,yǐnshí
睡覺,睡觉,shuìjiào
空,空,kòng
聯合,联合,liánhé
可見,可见,kějiàn
訪,访,fǎng
電力,电力,diànlì
失望,失望,shīwàng
鄉,乡,xiāng
旅館,旅馆,lǔguǎn
政黨,政党,zhèngdǎng
取消,取消,qǔxiāo
地面,地面,dìmiàn
防止,防止,fángzhǐ
取消,取消,qǔxiāo
言論,言论,yánlùn
差別,差别,chābié
失望,失望,shīwàng
建造,建造,jiànzào
代價,代价,dàijià
戴,戴,dài
跟,跟,gēn
常見,常见,chángjiàn
房地產,房地产,fángdìchǎn
食品,食品,shípǐn
個別,个别,gèbié
建造,建造,jiànzào
來賓,来宾,láibīn
重複,重复,chóngfù
兼,兼,jiān
意外,意外,yìwài
秒,秒,miǎo
全體,全体,quántǐ
方,方,fāng
沒想到,没想到,méixiǎngdào
足以,足以,zúyǐ
損失,损失,sǔnshī
當場,当场,dāngcháng
舒服,舒服,shūfú
憑,凭,píng
手術,手术,shǒushù
之內,之内,zhīnèi
信任,信任,xìnrèn
血,血,xiě
信任,信任,xìnrèn
公務員,公务员,gōngwùyuán
浪漫,浪漫,làngmàn
浪漫,浪漫,làngmàn
業界,业界,yèjiè
棟,栋,dòng
暴力,暴力,bàolì
腿,腿,tuǐ
充實,充实,chōngshí
公會,公会,gōnghuì
也就是說,也就是说,yějiùshìshuō
升級,升级,shēngjí
升級,升级,shēngjí
指示,指示,zhǐshì
充實,充实,chōngshí
古蹟,古蹟,gǔjī
還,还,hái
緊急,紧急,jǐnjí
創業,创业,chuàngyè
新竹市,新竹市,xīnzhúshì
創業,创业,chuàngyè
裡頭,里头,lǐtóu
基因,基因,jīyīn
崇拜,崇拜,chóngbài
崇拜,崇拜,chóngbài
風景,风景,fēngjǐng
也好,也好,yěhǎo
日期,日期,rìqí
佛教,佛教,fójiào
一一,一一,yīyī
當局,当局,dāngjú
進,进,jìn
格式,格式,géshì
北部,北部,běibù
吸食,吸食,xīshí
天天,天天,tiāntiān
現況,现况,xiànkuàng
紙,纸,zhǐ
貨,货,huò
相反,相反,xiāngfǎn
按照,按照,ànzhào
特,特,tè
吸食,吸食,xīshí
見面,见面,jiànmiàn
見面,见面,jiànmiàn
發動,发动,fādòng
公頃,公顷,gōngqīng
主機,主机,zhǔjī
隨便,随便,suíbiàn
資本,资本,zīběn
發動,发动,fādòng
裝,装,zhuāng
走進,走进,zǒujìn
分類,分类,fēnlèi
別,别,bié
泰國,泰国,tàiguó
倫敦,伦敦,lúndūn
秘書,秘书,mìshū
部屬,部属,bùshǔ
高度,高度,gāodù
問卷,问卷,wènjuàn
乾淨,干净,gānjìng
肝炎,肝炎,gānyán
來臨,来临,láilín
來臨,来临,láilín
胡,胡,hú
保證,保证,bǎozhèng
能否,能否,néngfǒu
肚子,肚子,dùzi
地震,地震,dìzhèn
指定,指定,zhǐdìng
時常,时常,shícháng
民營,民营,mínyíng
確保,确保,quèbǎo
新台幣,新台币,xīntáibì
喊,喊,hǎn
途徑,途径,tújìng
民營,民营,mínyíng
一路,一路,yīlù
輸出,输出,shūchū
敏感,敏感,mǐngǎn
溫暖,温暖,wēnnuǎn
可怕,可怕,kěpà
生理,生理,shēnglǐ
月亮,月亮,yuèliàng
輸出,输出,shūchū
癌,癌,yán
溫暖,温暖,wēnnuǎn
動機,动机,dòngjī
連,连,lián
帶領,带领,dàilǐng
帶領,带领,dàilǐng
東南亞,东南亚,dōngnányǎ
印表機,印表机,yìnbiǎojī
成分,成分,chéngfèn
據了解,据了解,jùliǎojiě
儒家,儒家,rújiā
可怕,可怕,kěpà
教育,教育,jiàoyū
設法,设法,shèfǎ
儲存,储存,chúcún
搭配,搭配,dāpèi
傳輸,传输,chuánshū
離,离,lí
圖書,图书,túshū
搭配,搭配,dāpèi
高科技,高科技,gāokējì
治,治,zhì
門口,门口,ménkǒu
外在,外在,wàizài
儲存,储存,chúcún
符號,符号,fúhào
風貌,风貌,fēngmào
名詞,名词,míngcí
合併,合并,hébìng
利潤,利润,lìrùn
合併,合并,hébìng
搶,抢,qiǎng
幹,干,gàn
無數,无数,wúshù
奧運,奥运,àoyùn
就,就,jiù
句子,句子,jùzi
娛樂,娱乐,yúlè
百貨,百货,bǎihuò
分子,分子,fènzǐ
厲害,厉害,lìhài
零,零,líng
厲害,厉害,lìhài
殘障,残障,cánzhàng
殘障,残障,cánzhàng
國語,国语,guóyǔ
少女,少女,shàonǔ
作,作,zuò
教堂,教堂,jiàotáng
許,许,xǔ
風險,风险,fēngxiǎn
教科書,教科书,jiàokēshū
黑色,黑色,hēisè
資深,资深,zīshēn
資深,资深,zīshēn
就讀,就读,jiùdú
曉得,晓得,xiǎode
請問,请问,qǐngwèn
增進,增进,zēngjìn
增進,增进,zēngjìn
贏得,赢得,yíngdé
犯罪,犯罪,fànzuì
台幣,台币,táibì
犯罪,犯罪,fànzuì
偶爾,偶尔,ǒuěr
培訓,培训,péixùn
譬如說,譬如说,pìrúshuō
上帝,上帝,shàngdì
種,种,zhòng
輩子,辈子,bèizi
筆者,笔者,bǐzhě
喪失,丧失,sàngshī
部長,部长,bùzhǎng
寂寞,寂寞,jímò
培訓,培训,péixùn
設有,设有,shèyǒu
